id,base_url,vulnerability_type,technique_id,timestamp,attacker_id,session_id,is_synthetic
2a844862-0165-4990-bfb8-17f0c70a11e5,https://example.com,broken-function-level-authorization,T1595,2024-09-22 03:11:38.241317,18400763-dcb8-45cf-9a42-05138805572c,5fd-4bb0-bd6c-c28c9aa05e9d,True
defa38f1-d6de-4e52-9c08-854b6c0ebc1d,https://example.com,broken-function-level-authorization,T1593,2024-09-22 03:13:09.865686,18400763-dcb8-45cf-9a42-05138805572c,5fd-4bb0-bd6c-c28c9aa05e9d,True
67c340c1-9c9a-45a7-81de-3df52c07d565,https://example.com,broken-function-level-authorization,T1190,2024-09-22 03:14:43.439205,18400763-dcb8-45cf-9a42-05138805572c,5fd-4bb0-bd6c-c28c9aa05e9d,True
335b828c-d639-44ec-be96-22dbe3d575ff,https://example.com,broken-function-level-authorization,T1548,2024-09-22 03:17:13.048469,18400763-dcb8-45cf-9a42-05138805572c,5fd-4bb0-bd6c-c28c9aa05e9d,True
be182aa4-8324-4fcc-b924-a6dc71abc890,https://example.com,broken-function-level-authorization,T1136,2024-09-22 03:18:29.176113,18400763-dcb8-45cf-9a42-05138805572c,5fd-4bb0-bd6c-c28c9aa05e9d,True
9e6c3c99-426a-476d-b870-ed619c9990c8,https://example.com,broken-function-level-authorization,T1530,2024-09-22 03:20:37.474871,18400763-dcb8-45cf-9a42-05138805572c,5fd-4bb0-bd6c-c28c9aa05e9d,True
8c9869aa-6efb-4246-8358-aeccf955037b,https://example.com,broken-function-level-authorization,T1560,2024-09-22 03:22:52.836980,18400763-dcb8-45cf-9a42-05138805572c,5fd-4bb0-bd6c-c28c9aa05e9d,True
facb7dad-7be0-444f-9f0c-204ef0ea9394,https://example.com,broken-function-level-authorization,T1567,2024-09-22 03:25:27.349318,18400763-dcb8-45cf-9a42-05138805572c,5fd-4bb0-bd6c-c28c9aa05e9d,True
aa5370c3-bf88-4d31-a8e6-c927aa1b4058,https://example.com,missing-re-authentication-sensitive-actions,T1593,2024-09-22 03:27:40.216263,064e4277-e44e-49f3-9030-04a4b60dd9c6,f33-44f8-ba63-1123d54bae68,True
d1f1e886-d872-4865-91bf-46404290173a,https://example.com,missing-re-authentication-sensitive-actions,T1595,2024-09-22 03:29:45.169667,064e4277-e44e-49f3-9030-04a4b60dd9c6,f33-44f8-ba63-1123d54bae68,True
c0816c56-a74e-4134-b06f-b866171444ed,https://example.com,missing-re-authentication-sensitive-actions,T1190,2024-09-22 03:31:31.731418,064e4277-e44e-49f3-9030-04a4b60dd9c6,f33-44f8-ba63-1123d54bae68,True
b9ab9ca1-6938-4692-a819-de7ce76079bc,https://example.com,missing-re-authentication-sensitive-actions,T1548,2024-09-22 03:33:04.003036,064e4277-e44e-49f3-9030-04a4b60dd9c6,f33-44f8-ba63-1123d54bae68,True
